date,location,rainfall_mm,temperature_c,humidity_pct,wind_speed_kmh,pressure_hpa,rain_category,month,season
2020-01-01,Hue,23.18,20.3,60.3,22.4,1004.2,Moderate,1,winter
2020-01-18,Hue,2.08,20.1,47.1,32.5,1018.0,Light,1,winter
2020-01-27,Hue,150.26,21.2,85.1,9.4,1001.5,Heavy,1,winter
2020-02-01,Hue,155.77,33.7,52.2,23.5,993.9,Heavy,2,winter
2020-02-12,Hcmc,65.56,28.5,61.2,4.4,998.7,Heavy,2,winter
2020-02-26,Hanoi,140.6,32.9,91.8,37.7,1014.0,Heavy,2,winter
2020-03-27,Danang,110.87,36.0,69.3,9.6,1016.0,Heavy,3,spring
2020-04-16,Danang,45.83,24.6,91.1,28.1,1007.3,Moderate,4,spring
2020-04-28,Hanoi,175.06,24.2,56.9,6.0,1012.2,Heavy,4,spring
2020-05-15,Can Tho,17.52,24.0,83.1,7.8,996.8,Light,5,spring
2020-05-26,Hcmc,68.56,19.4,90.5,16.3,1018.3,Heavy,5,spring
2020-05-29,Can Tho,150.23,31.5,48.5,1.4,996.1,Heavy,5,spring
2020-05-30,Danang,87.44,24.2,56.4,30.0,992.3,Heavy,5,spring
2020-06-02,Hcmc,21.76,22.8,43.8,16.0,1017.3,Moderate,6,summer
2020-06-06,Hcmc,198.66,29.8,90.6,38.7,1013.4,Heavy,6,summer
2020-06-07,Danang,108.8,28.0,57.5,15.4,1013.2,Heavy,6,summer
2020-06-19,Hcmc,102.25,35.6,55.4,1.1,1010.4,Heavy,6,summer
2020-06-22,Hue,16.18,31.5,48.4,39.7,1018.9,Light,6,summer
2020-06-24,Danang,60.13,30.8,75.9,20.1,1006.8,Heavy,6,summer
2020-07-14,Hanoi,33.71,20.4,64.6,27.3,1017.3,Moderate,7,summer
2020-07-20,Hue,120.76,31.5,53.8,15.5,1019.4,Heavy,7,summer
2020-08-02,Danang,33.73,30.8,95.0,28.2,1003.0,Moderate,8,summer
2020-08-05,Hue,63.2,18.3,88.2,2.6,1001.6,Heavy,8,summer
2020-08-09,Can Tho,154.97,29.6,77.6,22.2,1017.0,Heavy,8,summer
2020-08-18,Hanoi,72.65,37.2,46.7,38.6,992.1,Heavy,8,summer
2020-08-21,Hcmc,146.51,26.2,83.9,31.1,1005.4,Heavy,8,summer
2020-09-14,Hanoi,88.43,36.1,59.4,22.3,1001.4,Heavy,9,autumn
2020-09-21,Danang,140.27,25.4,44.2,23.2,1008.8,Heavy,9,autumn
2020-10-09,Can Tho,179.08,18.2,40.9,35.8,994.3,Heavy,10,autumn
