date,rain,temp,humidity,wind,pressure,date_normalized,location,rain_category
2020-01-09,13.34,35.2,57.3,27.3,1013.6,0,2.0,2.0
2020-01-11,67.1,27.6,74.3,5.4,1011.8,0,4.0,0.0
2020-01-18,45.67,21.6,79.8,29.4,1001.0,0,4.0,1.0
2020-01-24,122.83,34.6,82.5,5.5,991.4,0,3.0,0.0
2020-01-30,187.89,30.6,83.7,30.4,997.9,0,0.0,0.0
2020-02-03,38.96,24.8,55.6,23.8,1007.5,1,3.0,1.0
2020-02-05,108.76,26.1,80.4,23.4,999.0,1,3.0,0.0
2020-02-09,145.82,18.2,91.2,20.9,998.5,1,3.0,0.0
2020-02-23,88.39,31.5,48.7,29.0,993.1,1,3.0,0.0
2020-02-26,158.96,29.5,69.7,26.3,1008.4,1,0.0,0.0
2020-03-05,57.92,27.7,58.7,8.4,1017.0,2,2.0,0.0
2020-03-23,92.02,21.6,94.5,7.1,990.7,2,4.0,0.0
2020-03-24,63.78,30.4,50.5,7.5,1001.2,2,1.0,0.0
2020-05-09,1.86,28.2,54.8,10.4,990.4,4,1.0,2.0
2020-05-27,140.85,33.3,79.2,14.3,992.1,4,1.0,0.0
2020-05-29,92.46,21.8,80.0,11.3,1019.9,4,2.0,0.0
2020-05-30,159.82,31.5,52.6,38.6,1017.5,4,3.0,0.0
2020-06-11,51.47,19.2,44.8,15.4,1017.9,5,2.0,0.0
2020-06-15,80.11,22.8,49.3,13.9,990.3,5,4.0,0.0
2020-06-28,162.22,35.0,67.2,13.4,998.8,5,0.0,0.0
2020-07-02,9.8,29.3,54.8,21.8,998.4,6,3.0,2.0
2020-07-03,95.39,29.7,82.5,28.4,991.4,6,4.0,0.0
2020-08-01,28.76,21.9,60.1,15.1,994.2,7,0.0,1.0
2020-08-01,152.17,24.0,54.1,21.0,1008.3,7,4.0,0.0
2020-08-09,185.99,25.8,85.0,19.6,999.2,7,1.0,0.0
2020-09-18,84.53,19.6,45.0,18.1,1005.9,8,3.0,0.0
2020-09-19,147.6,32.7,84.9,23.6,1012.8,8,3.0,0.0
2020-10-09,58.1,35.6,79.3,24.6,1000.1,9,0.0,0.0
2020-12-06,185.75,26.0,88.5,18.6,991.4,11,0.0,0.0
2020-12-10,143.26,34.4,68.0,12.5,1002.5,11,1.0,0.0
2020-12-23,28.25,36.2,45.3,38.2,994.2,11,2.0,1.0
2021-01-12,57.16,30.6,51.6,9.4,995.3,12,2.0,0.0
2021-01-15,12.29,36.8,78.2,36.6,1003.1,12,1.0,2.0
2021-01-17,171.43,24.0,69.8,13.9,991.2,12,2.0,0.0
2020-01-11,157.33,18.5,40.1,7.8,1002.8,0,3.0,0.0
2020-01-13,80.32,26.6,52.2,4.4,1016.5,0,4.0,0.0
2020-01-18,195.6,32.4,44.7,11.8,1017.4,0,0.0,0.0
2020-01-22,198.01,32.8,91.6,14.9,1015.0,0,4.0,0.0
2020-01-31,90.05,31.0,79.8,12.7,997.8,0,4.0,0.0
2020-02-02,175.53,29.3,52.4,38.7,1003.6,1,2.0,0.0
2020-02-07,158.83,33.8,91.6,5.7,1015.0,1,2.0,0.0
2020-02-08,190.03,30.8,49.8,14.5,1011.9,1,3.0,0.0
2020-02-08,198.84,31.9,49.7,20.8,1018.7,1,2.0,0.0
2020-02-24,115.66,31.5,61.4,23.7,1009.1,1,4.0,0.0
2020-03-30,180.62,22.0,74.6,39.1,1008.6,2,4.0,0.0
2020-04-06,80.14,32.2,63.1,4.1,990.6,3,4.0,0.0
2020-04-11,1.55,22.5,65.5,38.5,1000.6,3,0.0,2.0
2020-04-14,12.91,18.0,59.0,23.8,1009.9,3,2.0,2.0
2020-04-15,78.67,25.4,79.0,38.2,990.1,3,4.0,0.0
2020-04-25,11.37,34.8,68.8,6.0,994.3,3,2.0,2.0
2020-05-04,96.03,29.2,85.6,4.7,1009.4,4,3.0,0.0
2020-05-05,125.01,26.8,89.8,30.7,1009.4,4,1.0,0.0
2020-05-10,179.6,26.1,80.5,34.5,992.2,4,0.0,0.0
2020-05-18,16.56,34.4,55.8,0.5,992.2,4,0.0,2.0
2020-05-23,188.92,27.8,67.0,32.5,1015.8,4,4.0,0.0
2020-05-24,25.32,23.2,84.6,23.0,1005.4,4,2.0,1.0
2020-06-14,143.8,35.2,89.7,24.3,1001.2,5,3.0,0.0
2020-06-16,69.09,28.3,58.0,15.8,995.8,5,1.0,0.0
2020-07-12,5.33,36.8,85.8,13.4,990.1,6,1.0,2.0
2020-07-14,33.71,20.4,64.6,27.3,1017.3,6,1.0,1.0
2020-07-17,199.83,23.6,44.2,39.8,1019.1,6,1.0,0.0
2020-07-30,117.15,19.2,80.6,23.8,994.4,6,4.0,0.0
2020-07-31,8.2,32.9,82.3,31.4,1010.1,6,1.0,2.0
2020-08-18,94.53,33.1,47.8,27.7,1010.2,7,3.0,0.0
2020-09-24,77.28,22.1,68.7,36.8,992.5,8,1.0,0.0
2020-09-28,17.25,18.1,59.2,19.1,1007.9,8,0.0,2.0
2020-09-30,100.26,31.9,55.4,16.5,1005.3,8,2.0,0.0
2020-10-05,146.87,37.1,52.7,5.7,1007.6,9,3.0,0.0
2020-10-11,51.93,35.2,78.5,19.4,1015.0,9,1.0,0.0
2020-10-30,70.2,22.9,60.0,1.0,1002.3,9,0.0,0.0
2020-11-15,170.77,27.6,62.8,5.3,1015.8,10,0.0,0.0
2020-11-22,69.55,37.4,98.4,3.9,1007.5,10,1.0,0.0
2020-12-10,57.43,20.4,77.7,27.8,995.2,11,2.0,0.0
2020-12-29,199.23,37.0,66.5,17.8,1009.3,11,2.0,0.0
2021-01-01,43.27,27.7,45.1,24.3,999.3,12,2.0,1.0
2021-01-09,9.31,36.1,65.9,26.2,1003.6,12,4.0,2.0
2021-01-14,188.29,24.0,62.0,16.5,998.3,12,4.0,0.0
2021-01-25,33.65,31.1,88.2,20.7,1002.9,12,2.0,1.0
2021-02-01,110.17,18.9,98.7,14.4,997.3,13,1.0,0.0
2021-02-11,17.08,30.7,84.2,27.3,1019.2,13,4.0,2.0
2021-02-14,129.71,37.5,48.8,0.9,1012.2,13,2.0,0.0
2020-01-08,39.38,26.6,67.1,10.6,1001.0,0,0.0,1.0
2020-01-10,172.27,19.7,84.9,13.2,1019.0,0,2.0,0.0
2020-01-30,19.72,25.8,91.2,27.0,1017.8,0,0.0,2.0
2020-01-31,35.67,20.5,87.8,0.5,999.0,0,2.0,1.0
2020-02-03,83.44,27.2,96.9,10.0,994.9,1,0.0,0.0
2020-02-08,23.84,18.3,46.3,14.2,1004.3,1,0.0,1.0
2020-02-21,53.04,36.5,71.2,4.9,1004.6,1,1.0,0.0
2020-02-24,106.75,30.9,93.8,13.6,998.4,1,1.0,0.0
2020-02-25,64.89,31.6,70.6,30.9,1008.6,1,4.0,0.0
2020-03-16,85.48,32.5,72.3,1.1,1000.0,2,0.0,0.0
2020-03-16,131.98,32.2,66.0,26.7,1019.3,2,1.0,0.0
2020-03-22,11.92,25.5,94.7,33.1,1019.3,2,0.0,2.0
2020-03-28,146.56,28.5,58.8,23.0,994.6,2,3.0,0.0
2020-04-01,86.92,18.4,45.1,36.8,992.1,3,1.0,0.0
2020-04-04,139.11,24.3,49.3,27.9,1010.6,3,1.0,0.0
2020-04-10,123.85,23.8,84.7,32.9,999.5,3,1.0,0.0
2020-05-04,113.13,22.5,46.4,37.6,1017.8,4,0.0,0.0
2020-05-04,94.0,26.5,45.7,17.2,991.3,4,1.0,0.0
2020-05-27,112.29,35.7,89.2,39.9,1002.0,4,3.0,0.0
2020-06-09,110.77,20.1,64.0,11.0,997.9,5,1.0,0.0
2020-06-12,143.37,35.2,45.6,5.5,1017.7,5,0.0,0.0
2020-06-15,118.98,26.7,81.2,9.3,1016.4,5,4.0,0.0
2020-07-06,20.33,27.8,42.1,27.6,1007.1,6,1.0,1.0
2020-07-09,151.62,19.3,68.8,18.1,996.1,6,1.0,0.0
2020-07-12,70.89,20.3,97.7,3.9,1016.0,6,2.0,0.0
2020-07-14,136.31,18.6,56.8,14.3,1009.4,6,1.0,0.0
2020-07-16,169.45,27.4,76.7,26.8,996.5,6,1.0,0.0
2020-07-20,160.88,35.6,86.6,7.9,1011.8,6,0.0,0.0
2020-07-23,143.23,26.3,59.4,21.9,1000.0,6,4.0,0.0
2020-07-24,44.41,34.2,71.2,11.1,1016.1,6,3.0,1.0
2020-08-18,75.23,37.8,60.2,31.6,998.8,7,2.0,0.0
2020-08-19,32.6,24.2,43.0,31.0,1016.2,7,2.0,1.0
2020-09-29,159.36,20.8,61.7,18.1,1011.5,8,1.0,0.0
2020-10-02,84.83,24.2,75.7,23.2,1005.2,9,1.0,0.0
2020-10-16,16.73,32.1,81.1,8.0,998.6,9,4.0,2.0
2020-10-18,21.23,26.3,88.7,26.9,992.8,9,3.0,1.0
2020-10-21,171.18,20.2,45.7,23.0,990.8,9,4.0,0.0
2020-10-26,184.28,33.9,42.1,12.4,1006.3,9,0.0,0.0
2020-11-04,32.47,23.2,100.0,2.2,997.1,10,1.0,1.0
2020-11-05,112.99,26.3,64.7,26.6,1004.5,10,3.0,0.0
2020-11-11,61.25,26.0,51.2,20.8,1011.9,10,3.0,0.0
2020-12-02,111.19,25.9,83.2,12.2,998.7,11,3.0,0.0
2020-12-22,24.26,29.3,65.9,22.2,1002.3,11,1.0,1.0
2020-12-28,44.63,31.1,67.1,26.6,992.7,11,4.0,1.0
2020-12-31,174.79,22.2,80.3,32.5,990.3,11,0.0,0.0
2021-01-03,153.04,37.5,73.3,9.9,999.7,12,0.0,0.0
2021-01-12,125.79,31.9,90.7,11.6,990.2,12,3.0,0.0
2021-01-23,184.71,24.0,97.5,2.8,998.8,12,4.0,0.0
2021-01-27,155.71,37.3,42.8,10.4,1015.0,12,0.0,0.0
2021-02-08,170.91,36.5,68.7,29.5,1013.4,13,4.0,0.0
2021-02-17,61.16,33.0,85.4,2.3,1005.3,13,3.0,0.0
2020-09-06,186.8,37.5,95.6,23.9,1011.1,8,4.0,0.0
2020-01-09,173.76,31.7,44.8,1.2,1009.8,0,0.0,0.0
2020-01-18,68.86,36.5,72.4,31.0,1019.9,0,3.0,0.0
2020-01-18,51.92,20.1,91.6,22.6,1002.7,0,3.0,0.0
2020-01-19,5.41,26.2,63.1,16.5,1015.8,0,0.0,2.0
2020-01-23,160.29,21.5,78.6,22.6,1015.0,0,1.0,0.0
2020-02-12,65.56,28.5,61.2,4.4,998.7,1,3.0,0.0
2020-02-12,89.62,30.0,55.4,11.9,1018.3,1,1.0,0.0
2020-02-14,89.79,32.1,88.7,13.6,997.0,1,4.0,0.0
