date,location,rainfall_mm,temperature_c,humidity_pct,wind_speed_kmh,pressure_hpa,rain_category
2020-01-01 00:00:00,Danang,109.66,27.5,40.2,31.9,997.9,Heavy
2020-01-01 01:00:00,HCMC,110.75,26.1,80.7,10.9,1006.1,Heavy
2020-01-01 02:00:00,Hue,23.18,20.3,60.3,22.4,1004.2,Moderate
2020-01-01 03:00:00,Hue,159.38,22.1,86.4,9.3,997.5,Heavy
2020-01-01 04:00:00,Danang,122.6,24.8,54.1,25.9,1007.4,Heavy
2020-01-01 05:00:00,HCMC,131.87,29.7,57.1,30.3,1001.4,Heavy
2020-01-01 06:00:00,Hanoi,130.1,21.3,66.8,3.2,1017.9,Heavy
2020-01-01 07:00:00,Danang,176.47,26.2,59.3,15.7,999.6,Heavy
2020-01-01 08:00:00,Hanoi,128.13,35.0,52.3,25.3,1010.0,Heavy
2020-01-01 09:00:00,Can Tho,113.24,30.5,51.0,24.0,996.4,Heavy
2020-01-01 10:00:00,Can Tho,198.74,27.5,94.5,10.7,990.4,Heavy
2020-01-01 11:00:00,Danang,144.93,23.0,76.3,30.6,1004.7,Heavy
2020-01-01 12:00:00,Danang,109.8,18.8,82.7,3.6,1011.0,Heavy
2020-01-01 13:00:00,HCMC,140.44,26.1,59.7,11.3,1010.2,Heavy
2020-01-01 14:00:00,Can Tho,105.91,28.0,41.8,28.8,1010.4,Heavy
2020-01-01 15:00:00,Danang,141.27,30.2,70.4,29.3,1005.9,Heavy
2020-01-01 16:00:00,Danang,52.76,29.8,70.6,16.3,1015.0,Heavy
2020-01-01 17:00:00,Hanoi,115.52,34.4,94.4,0.7,992.5,Heavy
2020-01-01 18:00:00,Danang,174.32,19.6,87.3,30.3,1010.3,Heavy
2020-01-01 19:00:00,Hue,11.36,25.2,72.5,7.2,1007.1,Light
2020-01-01 20:00:00,HCMC,117.13,19.3,99.2,24.9,1006.0,Heavy
2020-01-01 21:00:00,Hanoi,174.75,27.0,92.4,33.2,1005.9,Heavy
2020-01-01 22:00:00,Hue,49.12,21.6,53.5,14.4,1015.7,Moderate
2020-01-01 23:00:00,Hue,71.02,33.5,69.0,9.0,1008.8,Heavy
2020-01-02 00:00:00,Can Tho,72.93,23.7,82.2,39.1,1001.0,Heavy
2020-01-02 01:00:00,Can Tho,36.08,24.1,75.9,12.1,1019.0,Moderate
2020-01-02 02:00:00,Can Tho,184.11,22.5,61.4,28.0,1008.1,Heavy
