date,location,rainfall_mm,temperature_c,humidity_pct,wind_speed_kmh,pressure_hpa,rain_category
2020-01-01 00:00:00,Danang,7.43,27.5,50.0,31.9,997.9,Moderate
2020-01-01 01:00:00,HCMC,12.56,26.1,80.7,10.9,1006.1,Heavy
2020-01-01 02:00:00,Hue,10.79,20.3,60.3,22.4,1004.2,Heavy
2020-01-01 03:00:00,Hue,11.22,22.1,86.4,9.3,997.5,Heavy
2020-01-01 04:00:00,Danang,2.02,24.8,54.1,25.9,1007.4,Moderate
2020-01-01 05:00:00,HCMC,2.86,29.7,57.1,30.3,1001.4,Moderate
2020-01-01 06:00:00,Hanoi,0.1,21.3,66.8,3.2,1017.9,Light
2020-01-01 07:00:00,Danang,13.29,26.2,59.3,15.7,999.6,Heavy
2020-01-01 08:00:00,Hanoi,6.57,35.0,52.3,25.3,1010.0,Moderate
2020-01-01 09:00:00,Can Tho,13.11,30.5,51.0,24.0,996.4,Heavy
2020-01-01 10:00:00,Can Tho,0.51,27.5,94.5,10.7,990.4,Light
2020-01-01 11:00:00,Danang,18.72,23.0,76.3,30.6,1004.7,Heavy
2020-01-01 12:00:00,Danang,6.98,18.8,82.7,3.6,1011.0,Moderate
2020-01-01 13:00:00,HCMC,1.64,26.1,59.7,11.3,1010.2,Light
2020-01-01 14:00:00,Can Tho,2.07,28.0,50.0,28.8,1010.4,Moderate
2020-01-01 15:00:00,Danang,3.17,30.2,70.4,29.3,1005.9,Moderate
2020-01-01 16:00:00,Danang,2.43,29.8,70.6,16.3,1015.0,Moderate
2020-01-01 17:00:00,Hanoi,10.69,34.4,94.4,0.7,992.5,Heavy
2020-01-01 18:00:00,Danang,7.56,19.6,87.3,30.3,1010.3,Moderate
2020-01-01 19:00:00,Hue,2.99,25.2,72.5,7.2,1007.1,Moderate
2020-01-01 20:00:00,HCMC,12.39,19.3,99.2,24.9,1006.0,Heavy
2020-01-01 21:00:00,Hanoi,3.04,27.0,92.4,33.2,1005.9,Moderate
2020-01-01 22:00:00,Hue,1.29,21.6,53.5,14.4,1015.7,Light
2020-01-01 23:00:00,Hue,3.4,33.5,69.0,9.0,1008.8,Moderate
2020-01-02 00:00:00,Can Tho,11.38,23.7,82.2,39.1,1001.0,Heavy
2020-01-02 01:00:00,Can Tho,4.02,24.1,75.9,12.1,1019.0,Moderate
2020-01-02 02:00:00,Can Tho,2.85,22.5,61.4,28.0,1008.1,Moderate
2020-01-02 03:00:00,Hanoi,10.28,31.1,74.5,32.0,1003.8,Heavy
2020-01-02 04:00:00,Danang,9.22,37.9,73.1,4.5,997.1,Moderate
2020-01-02 05:00:00,Can Tho,0.82,37.2,85.5,8.3,998.5,Light
2020-01-02 06:00:00,Danang,14.94,21.7,72.3,35.4,997.3,Heavy
